,Average1,Average5,TasksTotal,CpuUs,CpuSy,CpuId,MemBuff,DiskRead,DiskWrite,NetRead,NetWrite,SysInt,species
2095,0.1841016221973767,0.3049692953287862,-0.5896949958828924,-0.760356374248886,-0.9810341298933545,0.3822956977591697,-1.025881534166374,2.098571774231216,-0.8450050461335437,-0.3113443609495709,-0.1642438102769864,-0.943070601598905,fio
656,0.19505734263284166,0.29252298002712035,-0.5896949958828924,-0.7567046793692014,-1.0293312976549303,-0.07184252988152452,-1.063040585641092,1.9451448640375568,-0.8463575159450196,2.4237160439889,-0.1642438102769864,-0.9395459820849433,fio
2090,0.1862927662844696,0.3074585583891193,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.44479178413174236,-1.0259510818157445,2.03423145705323,-0.8450050461335437,-0.18198339585112974,-0.1642438102769864,-0.9432600972716987,fio
2394,0.29146768246493177,0.3373297151131167,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.13850502201226905,-1.0177805209341553,2.108470284566291,-0.836117387372416,-0.034142292881482655,-0.1642438102769864,-0.9434116938099335,fio
846,0.2257333598521432,0.31492634757011856,-0.6033789857086168,-0.760356374248886,-0.9810341298933545,-0.13850502201226905,-1.0582057360904165,1.8808045468595704,-0.8463575159450196,-0.3205844298851739,-0.1642438102769864,-0.9445107687121367,fio
2004,0.25860052115853727,0.3248833998114513,-0.5896949958828924,-0.7567046793692014,-1.0293312976549303,0.03231761407276323,-1.0281817582733284,2.019383691550618,-0.846159668932598,-0.043382361817085595,-0.1642438102769864,-0.9454203479415462,fio
195,0.3550108609906278,0.14565645946746544,-0.5760110060571682,-0.7567046793692014,-1.0293312976549303,0.5531183338442021,-1.075206272603181,1.9550433743726316,-0.8446186261874077,-0.18198339585112974,-0.1642438102769864,-0.9426916102533177,fio
2505,0.2542182329843515,0.3373297151131167,-0.5760110060571682,-0.753052984489517,-1.0293312976549303,-0.11350658746323963,-1.0148904297269852,1.2522491405823193,-0.8463575159450196,0.7882238423871792,-0.1642438102769864,-0.955463618599609,fio
1756,0.2060130630683066,0.3223941367511178,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,0.03231761407276323,-1.0343818024227562,2.029282201885693,-0.8463575159450196,-0.08034263755949737,-0.1642438102769864,-0.9431463998680225,fio
1291,0.17314590176191214,0.3049692953287862,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.03231761407276323,-1.046529458512786,2.0391807122207677,-0.837856277130028,-0.546966118807446,-0.1642438102769864,-0.9441696765011082,fio
1647,0.2410713684617936,0.3248833998114513,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,0.1906410328832805,-1.0372641661133295,2.068876243225992,-0.8451982561066117,-0.7363875319873063,-0.1642438102769864,-0.9425400137150828,fio
1299,0.17095475767481924,0.3049692953287862,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,-0.05934331260701012,-1.0463311189201372,1.9550433743726316,-0.8463575159450196,-0.13116301670531355,-0.1642438102769864,-0.9424642154459654,fio
1760,0.2060130630683066,0.3223941367511178,-0.5760110060571682,-0.7567046793692014,-0.9810341298933545,-0.1426714277704403,-1.0343122547733858,1.9698911398752437,-0.8363105973454841,-1.1521906340894388,-0.1642438102769864,-0.9438285842900795,fio
1600,0.2629828093327235,0.3223941367511178,-0.6033789857086168,-0.7567046793692014,-1.0293312976549303,0.0364840198309345,-1.0384078385696427,2.103521029398754,-0.8380494871030959,-0.5977864979532621,-0.1642438102769864,-0.9403039647761179,fio
1952,0.20820420715539953,0.3099478214494524,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.2031402501577949,-1.0295134669668282,2.153013581074128,-0.8463575159450196,-0.3205844298851739,-0.1642438102769864,-0.942236820638613,fio
1060,0.21258649532958535,0.31492634757011856,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,-0.32182687537181515,-1.0526238932687255,6.320286432140627,-0.8376630671569599,3.2645623171287674,-0.1642438102769864,-0.851847384716047,fio
1646,0.2410713684617936,0.3248833998114513,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,0.09481370044533588,-1.0373362896015654,1.974840395042781,-0.846159668932598,-0.35754470562758567,-0.1642438102769864,-0.9432600972716987,fio
260,0.2651739534198164,0.1904631945534618,-0.5623270162314438,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.0736118283453928,2.068876243225992,-0.8423001065105918,-0.5977864979532621,-0.1642438102769864,-0.9419336275621432,fio
1614,0.30680569107458255,0.3348404520527836,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.0381038895835053,2.029282201885693,-0.846159668932598,0.09521867221695854,-0.1642438102769864,-0.9414409388128797,fio
1588,0.2235422157650499,0.31243708450978547,-0.6033789857086168,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.0387272425889733,1.9550433743726316,-0.8363105973454841,0.24305977518660563,-0.1642438102769864,-0.9440938782319906,fio
257,0.27393852976818805,0.18797393149312872,-0.5623270162314438,-0.760356374248886,-1.0293312976549303,0.21147306167413804,-1.0736813759947632,2.118368794901366,-0.8339920776686681,0.14603905136277473,-0.1642438102769864,-0.9432979964062573,fio
795,0.23011564802632903,0.31243708450978547,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.20730665591596678,-1.0594782004900083,2.0589777328909173,-0.8451982561066117,1.148586530875694,-0.1642438102769864,-0.942236820638613,fio
2430,0.24983594481016563,0.33235118899245053,-0.5760110060571682,-0.7567046793692014,-1.0293312976549303,0.20730665591596678,-1.0168532189425499,2.108470284566291,-0.846159668932598,-0.18198339585112974,-0.1642438102769864,-0.9421610223694955,fio
2006,0.25860052115853727,0.3248833998114513,-0.5896949958828924,-0.7567046793692014,-1.0293312976549303,0.03231761407276323,-1.0281096347850924,2.0738254983935294,-0.8450050461335437,0.10445874115256149,-0.1642438102769864,-0.9431842990025812,fio
540,0.23230679211342195,0.29501224308745344,-0.5896949958828924,-0.7567046793692014,-0.9810341298933545,0.11147932347802157,-1.066069772147003,2.009485181215543,-0.846159668932598,0.6219026015463263,-0.1642438102769864,-0.944738163519489,fio
